,codigo_intervencao,dcodigo_interv,count_code,perc
197,777,FORMAÇÃO CONTÍNUA - FORMAÇÃO MODULAR,4844346,12.125115951906174
220,7003,ENTREVISTA COLOCAÇÃO,4773577,11.947985265782506
26,225,FORMAÇÃO - VIDA ATIVA,4522910,11.320580361112926
0,101,INICIO PPE,4316679,10.804396176936658
1,102,FIM PPE,3592225,8.991129999867093
230,7013,PROCURA ACTIVA DE EMPREGO (PAE),2366254,5.922595975114452
218,7001,SESSÃO DE INFORMAÇÃO COLECTIVA,1554998,3.8920694465222336
101,506,CONTRATO EMPREGO-INSERÇÃO,1252244,3.134293813876795
249,9902,FORMAÇÃO - ENTIDADES EXTERNAS,870926,2.179877064010258
10,208,TÉCNICAS DE PROCURA DE EMPREGO,842806,2.109494341436849
2,103,REVISÃO DE PPE,819590,2.0513860453036967
35,299,INSCRIÇÃO CNO,660466,1.6531079390885093
227,7010,RENDIMENTO SOCIAL DE INSERÇÃO - RSI,627937,1.5716897462510124
63,399,COLOCAÇÃO,587210,1.4697524367827617
219,7002,ENTREVISTA ORIENTAÇÃO,579718,1.451000397041653
62,398,"MUDANÇA DE CATEGORIA 1,2 PARA 3",534119,1.3368687552697873
122,700,APRENDIZAGEM,487272,1.2196134421689173
215,796,COMUNICAÇÃO ASSERTIVA E TÉCNICAS DE PROCURA DE EMPREGO,485170,1.2143522585683018
91,427,ESTÁGIO EMPREGO,464576,1.1628066757561832
192,772,EFA - S3 - TIPO A,432074,1.0814560623464773
190,770,EFA - FORMAÇÃO CONTINUA - TIPO B3,359846,0.9006735841803268
228,7011,RENDIMENTO SOCIAL DE INSERÇÃO - FIM,357782,0.8955075123669727
102,507,CONTRATO EMPREGO-INSERÇÃO+,325444,0.8145673814075528
233,7016,RSI - RENDIMENTO SOCIAL DE INSERÇÃO,325106,0.8137213870892807
214,795,DESENVOLVIMENTO PESSOAL E TÉCNICAS DE PROCURA DE EMPREGO,303334,0.7592273388720598
211,791,FORMAÇÃO EM COMPETENCIAS BÁSICAS,264544,0.6621382276123685
216,797,COMPETÊNCIAS DE EMPREENDEDORISMO E TÉCNICAS DE PROCURA DE EMPREGO,245480,0.6144221457084047
231,7014,RSI - BENEFICIÁRIOS,234735,0.5875280363893693
79,416,ESTÁGIOS PROFISSIONAIS,192018,0.4806098727987472
232,7015,RSI - BENEFICIÁRIOS - FIM,172219,0.43105412869380705
85,421,ESTÁGIOS PROFISSIONAIS - PORTARIA 92/2011,155968,0.39037882198895413
222,7005,SESSÃO COLECTIVA DE ORIENTAÇÃO,146815,0.36746939596781586
19,217,DIAGNÓSTICO (RVCC/FORMAÇÃO),145514,0.3642130687249992
205,785,EFA - N3 - FORMAÇÃO PROFISSIONAL,143016,0.3579607201834496
229,7012,RSI - DECLARAÇÃO EMITIDA,121968,0.3052788018077347
189,769,EFA - FORMAÇÃO CONTINUA - TIPO B2,115956,0.29023111588627903
198,778,FORMAÇÃO CONTÍNUA - FORMAÇÃO MODULAR EXTRA CATÁLOGO,114416,0.2863765855604238
213,794,FORMAÇÃO MODULAR - VIDA ATIVA - CGP,88032,0.2203389698997975
157,735,PROGRAMA PORTUGUÊS PARA TODOS,76980,0.1926764574573611
117,611,"INFORMAÇÃO, AVALIAÇÃO/ORIENTAÇÃO PROFISSIONAL",66620,0.1667459807197895
28,230,CENTROS QUALIFICA,66068,0.16536435686272968
9,207,RVCC - OUTRAS ENTIDADES,63184,0.15814587279794626
47,319,PAECPE - SUBSÍDIO,58362,0.1460766875828333
204,784,EFA - N2 - FORMAÇÃO PROFISSIONAL,53000,0.13265591381190098
66,403,ESTÁGIOS PROFISSIONAIS,46776,0.11707760423519772
17,215,RVCC - BÁSICO - IEFP,45596,0.1141241329465554
104,509,CEI - PATRIMÓNIO,45304,0.11339327394970494
58,394,OUTRO PROGRAMA DE EMPREGO,43939,0.10997675843360598
209,789,EFA - BÁSICO - PROFISSIONAL,42256,0.10576430743463562
59,395,OFERTA DE EMPREGO (RECUSOU),41843,0.1047305924836108
174,753,EDUCAÇÃO FORMAÇÃO DE JOVENS - PERCURSO TIPO 2,39010,0.0976397584490992
186,767,EFA - FORMAÇÃO CONTINUA - TIPO B1,36948,0.09247869251928523
151,729,FORMAÇÃO PEDAGÓGICA CONTINUA DE FORMADORES,34200,0.08560060853522666
96,501,PROGRAMA OCUPACIONAL PARA SUBSIDIADOS (POC),32254,0.08072988385073687
67,404,EMPRESAS DE INSERÇÃO,30788,0.07706057121586429
191,771,EFA - FORMAÇÃO CONTINUA - TIPO B2+B3,30474,0.07627464750007303
86,422,PASSAPORTE EMPREGO,28520,0.07138389928142294
155,733,ESPECIALIZAÇÃO TECNOLÓGICA,26136,0.06541688610165744
115,609,APOIO A COLOCAÇÃO,26058,0.06522165664359462
221,7004,AVALIAÇÃO PSICOLÓGICA,24565,0.061484764580931085
224,7007,SESSÃO COLECTIVA PARA POTENCIAIS CRIADORES DO PRÓPRIO EMPREGO/EMPRESA,24154,0.06045605551344634
83,419,ESTÁGIOS FORMAÇÕES QUALIFICANTES,22548,0.056436331030768734
179,758,EDUCAÇÃO FORMAÇÃO DE JOVENS - PERCURSO TIPO 7,22118,0.05536006606965332
116,610,ACOMPANHAMENTO PÓS-COLOCAÇÃO,21668,0.054233742273137174
240,7102,ACOMPANHAMENTO CONTINUO - OUTROS,19228,0.048126564354249654
37,302,INICIATIVAS LOCAIS DE EMPREGO - ILE,18760,0.046955187605872875
16,214,RVCC - SECUNDÁRIO - IEFP,18650,0.04667986401116893
3,201,TÉCNICAS DE PROCURA DE EMPREGO,18624,0.04661478752514799
12,210,DESENVOLVIMENTO DE COMPETÊNCIAS PESSOAIS E SOCIAIS,15612,0.03907592691379996
49,321,PAECPE-SUBSÍDIO+ACE,14882,0.03724877942167378
51,323,PAECPE-ACE,13644,0.034150137510369376
27,226,TUTORIA NA PROCURA DE EMPREGO INDIVIDUAL,13436,0.033629525622201915
46,318,INCENTIVO A CONTRATAÇÃO,12014,0.03007034242521091
14,212,BALANÇO DE COMPETÊNCIAS PESSOAIS E PROFISSIONAIS,11752,0.029414571681461516
